"","party_deputy","year","rice_index"
"144","PP-PPB",2015,59.1249131227845
"145","PP-PPB",2016,86.0092049206116
"146","PP-PPB",2017,86.6288498399575
"147","PP-PPB",2018,87.8072264748497
"148","PP-PPB",2019,90.3113217738278
"149","PP-PPB",2020,92.8838991331218
"150","PPL",2018,100
"151","PPL",2019,100
"152","PPS",2002,86.6666666666667
"153","PPS",2003,98.6217948717949
"154","PPS",2004,90.5227097742251
"155","PPS",2005,84.6783771783772
"156","PPS",2006,95.6147186147186
"157","PPS",2007,64.3942428288223
"158","PPS",2008,59.6314484516732
"159","PPS",2009,77.6018613800569
"160","PPS",2010,78.1118301267555
"161","PPS",2011,69.7344028520499
"162","PPS",2012,92.1062094871619
"163","PPS",2013,84.5148073129725
"164","PPS",2014,96.81592039801
"165","PPS",2015,92.4351609522712
"166","PPS",2016,91.6792642983119
"167","PPS",2017,86.7464114832536
"168","PPS",2018,81.2733949301114
"169","PPS",2019,95.0757575757576
"170","PR",2007,94.5768312341206
"171","PR",2008,94.3263031236269
"172","PR",2009,91.893813729643
"173","PR",2010,90.9422713126548
"174","PR",2011,90.0371853483077
"175","PR",2012,80.4014939320336
"176","PR",2013,82.2516873959294
"177","PR",2014,91.5843439238712
"178","PR",2015,81.3697308688362
"179","PR",2016,85.388890065975
"180","PR",2017,78.2785975466386
"181","PR",2018,83.7709416970113
"182","PR",2019,92.8106921366872
"183","PRB",2002,100
"184","PRB",2006,90
"185","PRB",2007,99.290780141844
"186","PRB",2008,97.0695970695971
"187","PRB",2009,92.615268329554
"188","PRB",2010,90.3968253968254
"189","PRB",2011,96.4935875610033
"190","PRB",2012,90.9437003968254
"191","PRB",2013,93.064012490242
"192","PRB",2014,93.1023454157782
"193","PRB",2015,83.1195441286279
"194","PRB",2016,92.6694204160611
"195","PRB",2017,84.603156242254
"196","PRB",2018,90.4210139589222
"197","PRB",2019,90.8101251250862
"198","PRONA",2002,83.3333333333333
"199","PRONA",2003,96.6666666666667
"200","PRONA",2004,100
"201","PRONA",2005,100
"202","PRONA",2006,97.1428571428571
"203","PROS",2013,78.2151657865944
"204","PROS",2014,75.1444257646304
"205","PROS",2015,66.9564519017074
